iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
79,80896,38.14513,119.66667,1.0,0.92,1.094929,-0.076085,17.973282,9e-05,3143,0.14423,-0.01,0.01046,-0.00025,-0.00121,0.00152,0.38649
80,81920,19.05957,105.09091,0.63636,0.88,1.126234,-0.000362,27.35274,0.000106,3186,0.13816,-0.01,0.00952,-0.00146,-0.00186,-0.05224,0.29633
81,82944,21.58528,109.72727,0.63636,0.85,1.085569,-0.000968,31.70626,0.000597,3292,0.14328,-0.01,0.00999,-0.00087,-0.00141,-0.04207,0.32529
82,83968,35.09401,112.5,0.875,0.84,1.150134,-0.000553,20.708987,9.6e-05,3240,0.13969,-0.01,0.0096,-0.00218,-0.00136,-0.00547,0.3189
83,84992,32.46901,119.22222,0.88889,0.84,1.160355,-0.000276,21.091975,0.000136,3218,0.14951,-0.01,0.01009,-0.00326,-0.00085,-0.00397,0.336
84,86016,42.02193,109.88889,1.0,0.85,1.156589,0.000525,16.431184,0.00023,3197,0.14764,-0.01,0.00944,0.00054,-0.00204,0.00384,0.41165
85,87040,39.9644,110.0,1.0,0.86,1.129892,0.000586,19.96968,0.000343,3275,0.14792,-0.01,0.00979,-0.00096,-0.00127,0.00337,0.35911
86,88064,35.22826,119.11111,1.0,0.87,1.164586,0.000163,16.281462,9.8e-05,3137,0.14101,-0.01,0.01028,-0.00178,-0.00108,0.00351,0.35608
87,89088,41.07847,101.7,0.9,0.87,1.182377,0.055329,18.687525,0.000405,2824,0.15035,-0.01,0.00971,-0.00066,-0.0019,-0.00373,0.44563
88,90112,39.6784,116.57143,1.0,0.87,1.117091,-0.000113,26.30489,0.000246,3326,0.15581,-0.01,0.00866,-0.00151,-0.00126,-0.03006,0.31978
89,91136,29.94153,138.7,0.9,0.88,1.187416,-0.0047,13.300663,0.000178,3267,0.1397,-0.01,0.00815,-0.00211,-0.00148,0.00383,0.38561
90,92160,30.00622,118.625,0.875,0.87,1.122988,-0.000169,24.293046,0.000153,3496,0.15471,-0.01,0.00777,-0.00063,-0.00192,-0.00853,0.30436
91,93184,39.46054,111.83333,1.0,0.89,1.198886,-0.013752,11.470928,0.000162,3488,0.16595,-0.01,0.00878,-0.00731,-0.00124,0.00294,0.28876
92,94208,29.28031,164.875,0.875,0.9,1.186787,-0.001102,14.804789,0.000254,3388,0.15288,-0.01,0.00888,-0.00326,-0.00212,0.00251,0.28692
93,95232,37.38448,113.22222,0.88889,0.93,1.168942,-0.000731,18.017381,0.000173,3284,0.13898,-0.01,0.00785,-0.00175,-0.0019,-0.00541,0.39348
