iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
104,106496,40.07836,140.25,0.75,0.7,2.024298,-0.000469,83.343888,0.000138,1791,0.18487,0.375,0.94937,0.41074,3.20677,-0.01,0.02114,-0.01044,-0.01522,0.01308,0.45238
105,107520,18.49527,131.0,0.57143,0.7,2.098164,0.128687,43.033595,0.00021,1996,0.18842,0.85714,1.0,0.31294,5.04817,-0.01,0.01808,-0.01466,-0.0203,0.00884,0.2161
106,108544,41.28126,115.11111,0.77778,0.69,2.04692,-0.000363,86.525499,0.000233,1696,0.17397,0.55556,0.97403,0.41116,3.5471,-0.01,0.02624,-0.00941,-0.02394,0.00698,0.49253
107,109568,32.31903,120.83333,0.66667,0.67,2.020656,-0.000948,46.164326,0.000372,1856,0.17127,0.5,0.98462,0.30333,4.34728,-0.01,0.02127,-0.01012,-0.02322,0.01342,0.27927
108,110592,38.25514,187.85714,0.71429,0.67,2.04944,-0.000482,67.156871,9.4e-05,1802,0.16311,0.14286,0.96809,0.23301,5.00947,-0.01,0.01402,-0.01009,-0.03,0.00841,0.38475
109,111616,30.96013,166.0,0.8,0.67,2.027432,-0.000582,43.62184,0.00013,1948,0.17852,0.4,0.94231,0.32833,5.68135,-0.01,0.01493,-0.00955,-0.02043,0.00982,0.23468
110,112640,23.3721,193.66667,0.5,0.65,2.028108,-0.000702,49.618018,0.000223,1974,0.18241,0.5,0.95238,0.20728,4.62104,-0.01,0.0103,-0.01034,-0.02134,0.00397,0.25242
111,113664,22.36119,186.25,0.5,0.65,2.024304,-0.049981,47.55615,0.00044,2011,0.17816,0.5,0.95833,0.33138,4.726,-0.01,0.0011,-0.01263,-0.02846,0.00612,0.15799
112,114688,25.40639,205.6,0.6,0.65,2.051779,-0.000444,36.441447,0.000179,1937,0.17699,0.6,0.95833,0.44783,3.36611,-0.01,0.00999,-0.01085,-0.02616,0.0078,0.20493
113,115712,18.04375,195.625,0.625,0.66,2.0329,0.068924,47.941371,0.000153,1857,0.174,0.875,0.95745,0.31298,3.20013,-0.01,0.01389,-0.00858,-0.02371,0.0069,0.2534
114,116736,26.76163,172.0,0.6,0.67,2.039386,0.046185,42.989227,0.000134,2042,0.18579,0.8,0.95455,0.23096,3.57402,-0.01,0.00656,-0.01015,-0.018,0.00699,0.22719
115,117760,27.35198,112.33333,0.55556,0.66,2.002742,-0.000603,77.168536,0.0003,1954,0.17528,0.88889,0.90909,0.30805,3.30784,-0.01,0.01873,-0.00513,-0.01252,0.00628,0.38719
116,118784,33.7975,133.18182,0.72727,0.67,2.051039,0.113974,74.753007,0.000198,1668,0.16513,0.72727,0.95122,0.28435,3.25165,-0.01,0.02588,-0.00775,-0.01804,0.01687,0.49668
117,119808,41.60804,92.0,1.0,0.68,2.015315,2.8e-05,41.350248,0.000244,1820,0.18276,0.5,0.95,0.3367,4.44032,-0.01,0.01965,-0.00961,-0.02091,0.00727,0.21729
118,120832,24.78071,138.85714,0.57143,0.66,2.021068,-0.000451,51.395041,8.7e-05,1841,0.16865,0.71429,0.94444,0.33766,3.89723,-0.01,0.01861,-0.009,-0.02833,0.0083,0.24537
119,121856,26.74532,188.7,0.5,0.64,2.016767,0.01379,55.783612,0.00029,1603,0.17547,0.5,0.93919,0.4458,3.64275,-0.01,0.02518,-0.00946,-0.02171,0.00985,0.36387
