iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
121,123904,1.49951,450.0,0.0,0.62,1.674435,0.173503,0.340547,0.000558,1611,0.13581,-0.01,0.00355,0.00451,0.00512,-0.00024,0.0
122,124928,-0.75443,450.0,0.0,0.61,1.704991,-0.000138,3.518977,0.00029,1656,0.14173,-0.01,0.00242,0.004,0.0048,-0.02704,0.0
123,125952,-0.00202,450.0,0.0,0.6,1.786383,0.043484,0.208682,0.001828,1735,0.14566,-0.01,0.00228,0.00224,0.00493,-0.00034,0.0
124,126976,1.19689,450.0,0.0,0.56,1.710102,-0.002589,0.19987,0.002037,1710,0.14768,-0.01,0.003,0.00618,0.00539,0.0,0.0
125,128000,-9.70405,450.0,0.0,0.53,1.567136,-0.048108,0.154076,0.002608,1614,0.13344,-0.01,0.00319,0.00101,0.00527,-0.00083,0.0
126,129024,nan,nan,0.0,0.53,1.739364,0.045932,0.205789,0.001922,1627,0.13916,-0.01,0.002,0.001,0.00524,-0.00037,0.0
127,130048,0.9944,450.0,0.0,0.51,1.663939,-0.000636,3.168214,0.000574,1703,0.14079,-0.01,0.00266,0.00426,0.00491,-0.02898,0.0
128,131072,0.13775,450.0,0.0,0.46,1.503271,-0.119316,0.218239,0.001085,1772,0.13728,-0.01,0.0038,0.00331,0.00505,0.0,0.0
129,132096,1.34124,450.0,0.0,0.45,1.616945,-0.001986,0.11506,0.00302,1744,0.1345,-0.01,0.00272,0.00519,0.00555,0.0,0.0
130,133120,-26.85269,450.0,0.0,0.45,1.720786,-0.002111,0.126777,0.002689,1689,0.13446,-0.01,0.00248,0.00683,0.00545,0.0,0.0
131,134144,2.72776,450.0,0.0,0.42,1.680072,-0.001024,0.12383,0.001134,1521,0.135,-0.01,0.00178,0.00773,0.00637,0.0,0.0
132,135168,1.00131,450.0,0.0,0.4,1.639513,-0.005012,0.099544,0.003425,1534,0.131,-0.01,0.00304,0.00558,0.00601,0.0,0.0
133,136192,5.34004,450.0,0.0,0.39,1.77024,-0.003266,0.1111,0.004294,1532,0.13239,-0.01,0.00179,0.00827,0.0061,0.0,0.0
134,137216,1.27971,450.0,0.0,0.37,1.785967,-0.001375,0.124876,0.001845,1532,0.13672,-0.01,0.00176,0.00939,0.00534,0.0,0.0
135,138240,2.70171,450.0,0.0,0.33,1.664011,-0.035961,0.091109,0.00178,1510,0.13253,-0.01,0.00232,0.00695,0.00583,-0.0003,0.0
136,139264,3.5563,450.0,0.0,0.31,1.713381,-0.020035,0.090601,0.003291,1538,0.13531,-0.01,0.00205,0.0034,0.00653,-0.00038,0.0
137,140288,1.26705,450.0,0.0,0.3,1.747186,-0.112485,0.137988,0.001753,1577,0.13932,-0.01,0.00249,0.00458,0.00557,4e-05,0.0
138,141312,-0.45513,450.0,0.0,0.28,1.785086,-0.055734,0.146853,0.00323,1559,0.1399,-0.01,0.00275,0.00582,0.00587,0.0,0.0
139,142336,1.2486,450.0,0.0,0.24,1.75128,-0.002841,0.098734,0.00204,1508,0.13671,-0.01,0.00341,0.00342,0.00615,0.0,0.0
140,143360,2.12853,450.0,0.0,0.23,1.810572,-0.001985,0.08432,0.001878,1545,0.13849,-0.01,0.00187,0.00092,0.00632,0.0,0.0
141,144384,1.82361,450.0,0.0,0.22,1.864684,-0.102939,0.072896,0.001947,1481,0.13279,-0.01,0.0027,0.00114,0.0067,0.0,0.0
142,145408,0.07225,450.0,0.0,0.18,1.771598,-0.002262,0.053846,0.003238,1465,0.13072,-0.01,0.00231,0.00125,0.0072,0.0,0.0
143,146432,23.30504,430.5,0.5,0.19,1.723633,0.00057,8.333807,0.001425,1497,0.13016,-0.01,0.00166,0.00215,0.00683,0.0,0.04561
144,147456,0.68699,450.0,0.0,0.18,1.776279,-0.004008,0.085367,0.003345,1503,0.13156,-0.01,0.00236,0.00318,0.00725,0.0,0.0
145,148480,1.41352,450.0,0.0,0.18,1.798995,-0.004482,0.066573,0.003806,1507,0.13058,-0.01,0.0025,0.00173,0.00734,0.0,0.0
146,149504,0.58446,450.0,0.0,0.16,1.794621,-0.005481,0.075349,0.004095,1461,0.13072,-0.01,0.00329,0.00409,0.00602,0.00077,0.0
147,150528,nan,nan,0.0,0.16,1.846364,0.040482,0.125488,0.001537,1555,0.13393,-0.01,0.00251,0.00332,0.00614,0.00022,0.0
148,151552,24.01083,450.0,0.5,0.15,1.777474,0.027926,6.070025,0.001271,1612,0.13397,-0.01,0.0031,0.00591,0.00612,0.00017,0.04818
149,152576,35.61932,427.2,0.8,0.16,1.770079,-0.000247,30.886938,0.000219,1533,0.13407,-0.01,0.00289,0.0058,0.00538,-0.02519,0.18081
150,153600,1.91843,450.0,0.0,0.16,1.745399,-0.000186,0.255564,4.8e-05,1662,0.13428,-0.01,0.00216,0.00374,0.00633,0.00019,0.0
151,154624,34.40978,318.75,0.75,0.17,1.780644,-0.000199,31.112128,0.000378,1765,0.13901,-0.01,0.00241,0.0036,0.00584,-0.02239,0.15409
152,155648,-22.4828,450.0,0.0,0.16,1.699067,-7.9e-05,5.272281,0.00011,1707,0.13938,-0.01,0.0032,0.00072,0.00589,-0.05105,0.0
153,156672,-8.29305,450.0,0.0,0.15,1.765436,0.038051,0.36367,0.001002,1656,0.13689,-0.01,0.0017,0.00216,0.0058,0.00119,0.0
154,157696,43.4818,314.33333,1.0,0.18,1.819832,0.046385,21.586031,0.000881,1675,0.13842,-0.01,0.00196,0.00011,0.00543,-0.0278,0.14319
155,158720,-9.5925,450.0,0.0,0.17,1.713164,-0.000788,0.296018,0.000127,1624,0.13556,-0.01,0.00183,0.00599,0.00577,-0.00018,0.0
156,159744,8.07744,370.0,0.33333,0.15,1.784287,0.03697,7.635773,0.000357,1708,0.13038,-0.01,0.00209,0.00454,0.00598,-0.00067,0.05288
157,160768,36.4085,360.0,0.75,0.17,1.810159,-0.06286,29.547659,0.000576,1692,0.13443,-0.01,0.00267,0.00683,0.00513,0.00322,0.16465
158,161792,-0.45195,450.0,0.0,0.17,1.693603,-0.076832,3.156896,0.000157,1857,0.13928,-0.01,0.00194,0.00291,0.00576,-0.02803,0.0
159,162816,33.97931,262.33333,1.0,0.19,1.774426,-0.000469,24.279107,0.0002,1684,0.13861,-0.01,0.00297,-0.00092,0.00574,-0.0226,0.13632
160,163840,15.22424,424.0,0.5,0.21,1.757055,0.000246,18.195501,0.000328,1665,0.14033,-0.01,0.00323,-0.00273,0.00564,-0.05638,0.08998
161,164864,nan,nan,0.0,0.21,1.817704,-0.001626,0.810522,0.00046,1706,0.14331,-0.01,0.00201,-9e-05,0.00586,0.00112,0.0
162,165888,-7.9603,450.0,0.0,0.21,1.890201,-0.024857,0.438812,0.004386,1691,0.14235,-0.01,0.00182,0.00219,0.00565,-0.00039,0.0
163,166912,26.5705,390.0,0.66667,0.23,1.825459,-0.015818,23.42385,0.000648,1623,0.14293,-0.01,0.00274,0.00463,0.00573,-0.04886,0.10833
164,167936,20.87855,295.66667,1.0,0.26,1.76076,-0.051599,15.275692,0.001726,1713,0.13886,-0.01,0.00363,0.00229,0.00566,-0.01564,0.12488
165,168960,17.33409,370.5,0.5,0.27,1.768148,-0.000392,15.078873,0.0005,1943,0.1391,-0.01,0.00231,-0.00187,0.00351,-0.06262,0.06671
166,169984,-22.80236,450.0,0.0,0.27,1.8353,0.003016,4.856665,0.000657,1981,0.14739,-0.01,0.00167,-0.00566,0.00314,-0.02891,0.0
167,171008,-3.17615,408.0,0.2,0.28,1.761801,-0.000938,8.755615,0.000625,1768,0.14655,-0.01,0.00412,0.00124,0.00481,-0.03919,0.03764
