iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
124,126976,40.8861,98.36364,0.90909,0.93,1.274819,-0.001304,23.607446,0.002682,3100,0.16929,-0.01,0.01067,-0.00963,-0.00219,-0.00195,0.51818
125,128000,26.77601,124.44444,0.77778,0.92,1.316526,0.000573,22.057521,0.001279,3345,0.16824,-0.01,0.00855,-0.01746,-0.00259,-0.00634,0.31396
126,129024,45.1087,101.875,1.0,0.92,1.283667,-0.000832,21.665206,0.000815,3091,0.16234,-0.01,0.00956,-0.00716,-0.00178,-0.02185,0.3861
127,130048,38.39976,111.22222,1.0,0.92,1.33274,-0.000923,20.726598,0.00097,3315,0.15521,-0.01,0.00965,-0.00889,-0.00148,0.0034,0.43024
128,131072,25.91736,105.7,0.8,0.91,1.383766,-0.004736,22.053794,0.001408,3150,0.15025,-0.01,0.00938,-0.00535,-0.00234,-0.03019,0.3157
129,132096,33.41127,103.6,0.8,0.91,1.345124,0.009269,17.241044,0.003259,3207,0.16026,-0.01,0.00936,-0.00696,-0.00209,-0.00387,0.40314
130,133120,42.92335,108.77778,1.0,0.92,1.359448,0.080205,24.518254,0.005179,3273,0.15346,-0.01,0.00993,-0.01139,-0.00156,0.00498,0.46091
131,134144,28.68994,117.8,0.7,0.89,1.331257,-0.001326,26.041349,0.001254,3076,0.15339,-0.01,0.00816,-0.00437,-0.00269,-0.01246,0.34871
132,135168,31.98595,134.14286,1.0,0.89,1.342216,-0.002831,20.823355,0.002408,3541,0.16779,-0.01,0.00818,-0.00906,-0.00167,0.00058,0.28441
133,136192,18.70551,132.85714,0.71429,0.87,1.284023,0.014833,35.556701,0.001203,3296,0.15868,-0.01,0.00842,-0.00483,-0.00188,-0.04569,0.20596
