iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
76,77824,49.2611,110.09091,0.90909,0.86,0.783484,-0.086756,17.650957,0.001124,2370,0.20413,-0.01,0.05102,-0.00204,-0.00252,0.02142,0.56022
77,78848,56.63004,117.5,0.875,0.86,0.805148,0.001234,13.42999,0.001589,2330,0.20557,-0.01,0.05169,-0.00222,-0.00283,0.01946,0.39137
78,79872,44.99451,110.6,0.9,0.85,0.785433,-0.000753,27.36708,0.001553,2387,0.20563,-0.01,0.05007,-0.00239,-0.00223,-0.03488,0.45419
79,80896,51.52351,106.4,0.9,0.86,0.749321,-0.057581,26.454231,0.000388,2375,0.20351,-0.01,0.05151,-0.00194,-0.00281,0.01908,0.46747
80,81920,45.08725,111.5,0.9,0.88,0.812244,-0.001774,38.764322,0.002522,2383,0.21421,-0.01,0.0502,-0.00205,-0.00297,-0.0833,0.45988
81,82944,43.50438,77.75,1.0,0.91,0.811172,0.003156,24.05558,0.001433,2446,0.2173,-0.01,0.04932,-0.00257,-0.00293,-0.02805,0.40825
82,83968,46.21813,119.88889,0.88889,0.9,0.827488,0.150928,20.839331,0.000693,2442,0.21732,-0.01,0.05016,-0.00256,-0.00216,0.01502,0.39482
83,84992,51.27727,135.5,0.8,0.9,0.831506,-0.140572,29.592107,0.001057,2301,0.214,-0.01,0.04982,-0.00225,-0.00252,-0.00587,0.43731
84,86016,53.38278,125.14286,0.85714,0.89,0.783077,0.027556,17.631233,0.001929,2436,0.22592,-0.01,0.05146,-0.00218,-0.00235,0.01573,0.34977
85,87040,52.27219,70.33333,1.0,0.89,0.892813,-0.093651,21.262005,0.001783,2587,0.23274,-0.01,0.04775,-0.00316,-0.0036,0.00983,0.15222
86,88064,36.1653,220.25,0.625,0.87,0.879033,-0.000589,16.498865,0.000784,2559,0.21605,-0.01,0.04746,-0.00233,-0.00302,0.00864,0.25574
87,89088,46.83678,146.66667,0.77778,0.86,0.839909,0.188949,60.98622,0.003762,2330,0.20935,-0.01,0.04669,-0.00223,-0.00275,-0.03079,0.38829
88,90112,48.07285,82.5,1.0,0.87,0.827529,-0.000703,44.469021,0.002232,2559,0.22511,-0.01,0.0463,-0.00212,-0.0027,-0.05119,0.54786
89,91136,45.23422,110.55556,0.88889,0.87,0.808457,0.108614,43.56263,0.00107,2574,0.21953,-0.01,0.04759,-0.00181,-0.00305,-0.06571,0.46288
90,92160,44.46856,103.2,0.9,0.87,0.794288,-0.000629,34.408504,0.000412,2579,0.21279,-0.01,0.04799,-0.00157,-0.00269,-0.03516,0.49846
91,93184,49.49819,125.0,0.85714,0.87,0.812028,-0.00097,12.885446,0.001159,2532,0.21315,-0.01,0.04739,-0.00237,-0.00225,0.01752,0.34842
92,94208,46.35151,120.28571,0.85714,0.87,0.829464,-6.6e-05,19.573363,0.00139,2563,0.20092,-0.01,0.04437,-0.00158,-0.00248,0.01448,0.34003
93,95232,48.03514,145.0,0.75,0.85,0.840969,-0.050924,18.106517,0.001612,2578,0.21228,-0.01,0.04077,-0.00199,-0.00354,0.01559,0.36925
94,96256,39.02447,159.0,0.71429,0.84,0.774474,-0.002441,12.317408,0.003903,2583,0.19353,-0.01,0.04461,-0.00059,-0.00382,0.01628,0.26172
95,97280,50.68594,105.0,0.9,0.83,0.725706,-0.002339,30.928198,0.001105,2414,0.17845,-0.01,0.04668,-0.00077,-0.00243,-0.03535,0.49117
96,98304,49.40119,118.8,0.9,0.84,0.636811,0.000322,26.578336,0.001065,2459,0.16383,-0.01,0.05064,-0.00026,-0.00183,0.0007,0.49873
