iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
54,55296,2.44554,103.25,0.0,0.0,1.308734,-0.104419,0.170344,0.003993,1478,0.09936,1.0,0.0,0.88023,2.35136,-0.01,0.0616,0.00307,-0.00948,-0.01539,-0.00409
55,56320,2.31421,102.18182,0.0,0.0,1.282162,-0.003404,0.19612,0.004831,1658,0.10462,1.0,0.0,0.83019,2.81182,-0.01,0.05784,0.00244,-0.0064,-0.02213,-0.00639
56,57344,2.66752,102.55556,0.0,0.0,1.167313,0.064516,0.142942,0.006726,1631,0.10032,1.0,0.0,0.95676,2.41326,-0.01,0.05767,0.00237,-0.00945,-0.01641,-0.0052
57,58368,1.02798,150.125,0.0,0.0,1.341738,0.025624,0.148922,0.006472,1674,0.1005,1.0,0.0,0.95292,2.97476,-0.01,0.0557,0.00225,-0.0131,-0.0138,-0.00409
58,59392,2.03934,97.14286,0.0,0.0,1.251115,-0.033587,0.145252,0.005435,1683,0.10099,1.0,0.0,0.93217,2.28057,-0.01,0.06152,0.00285,-0.00587,-0.01406,-0.00464
59,60416,2.42171,102.42857,0.0,0.0,1.26482,0.019566,0.195565,0.005426,1765,0.10236,1.0,0.0,0.83188,2.47555,-0.01,0.05753,0.00316,-0.01136,-0.01376,-0.00424
60,61440,2.29726,133.5,0.0,0.0,1.129649,0.135517,0.247067,0.003726,1682,0.09392,1.0,0.0,0.90702,2.3422,-0.01,0.05734,0.00317,-0.00825,-0.01545,-0.00505
61,62464,3.01922,133.72727,0.0,0.0,1.132144,-0.003206,0.151528,0.002256,1539,0.08833,1.0,0.0,0.91633,2.16542,-0.01,0.06199,0.00287,-0.0084,-0.01456,-0.00572
62,63488,4.5716,108.1,0.1,0.01,1.164741,0.017362,4.935403,0.001985,1545,0.09582,1.0,0.0,0.80595,2.50381,-0.01,0.0619,0.00238,-0.00729,-0.00901,0.01356
63,64512,3.31052,103.71429,0.0,0.01,1.104478,-0.09342,0.25191,0.002427,1555,0.08406,1.0,0.0,0.87773,2.37797,-0.01,0.06151,0.00292,-0.00726,-0.00773,-0.00409
64,65536,12.32223,106.5,0.25,0.02,1.104201,0.032237,9.113188,0.000996,1589,0.07021,0.75,0.0,0.83739,2.55322,-0.01,0.05388,0.00216,-0.0043,-0.0012,0.03599
65,66560,3.21268,105.4,0.0,0.02,1.214067,-0.027718,0.348521,0.002824,1652,0.08722,1.0,0.0,0.89177,2.69359,-0.01,0.0497,0.00088,-0.00514,-0.00551,-0.00276
66,67584,22.08614,300.5,0.16667,0.03,1.229875,0.001292,21.911192,0.002482,1606,0.08333,0.33333,0.0,0.90855,2.33683,-0.01,0.05278,0.00166,-0.00592,0.00214,0.07561
67,68608,11.87718,166.125,0.25,0.05,1.322059,0.052126,15.048259,0.002121,1714,0.10696,0.875,0.0,0.88358,2.79785,-0.01,0.05339,0.0024,-0.00921,-0.00466,0.05838
68,69632,7.78106,103.42857,0.14286,0.06,1.440335,-0.000763,10.316702,0.00167,1701,0.11631,0.85714,0.0,0.84361,3.54214,-0.01,0.05371,0.00137,-0.012,-0.00683,0.0374
69,70656,8.92592,171.33333,0.16667,0.07,1.467744,0.038405,11.2329,0.001473,1827,0.11043,0.66667,0.0,0.77576,3.63489,-0.01,0.05086,0.00221,-0.01067,-0.00234,0.04166
70,71680,28.94687,114.0,0.66667,0.09,1.445648,-0.150554,57.265314,0.003564,1924,0.09987,0.66667,0.0,0.88706,2.90485,-0.01,0.0452,0.00197,-0.01311,0.00155,0.09224
71,72704,6.53761,249.4,0.2,0.1,1.578616,0.008109,6.445135,0.003009,2162,0.13714,0.6,0.0,0.75676,4.88927,-0.01,0.04497,0.00105,-0.01385,-0.00248,0.02478
72,73728,21.94702,185.5,0.5,0.12,1.589173,-0.000938,30.353762,0.006418,2308,0.12216,0.5,0.0,0.79025,3.98335,-0.01,0.03352,0.00137,-0.01658,-0.00489,0.10922
73,74752,0.17966,234.0,0.0,0.12,1.843209,-0.207808,1.974991,0.006471,2033,0.13424,0.875,1.0,0.68367,4.58047,-0.01,0.03593,-0.00195,-0.02437,-0.00758,-0.00341
74,75776,-0.82519,102.2,0.0,0.12,1.97815,0.128869,1.278737,0.006112,2261,0.13907,1.0,1.0,0.4537,8.62241,-0.01,0.01977,-0.00356,-0.02216,-0.00822,-0.00363
75,76800,7.39621,193.0,0.2,0.13,1.967206,-0.421456,95.260937,0.005738,2120,0.13765,0.8,0.83333,0.12851,12.26442,-0.01,0.01269,-0.00198,-0.03035,-0.00666,0.0691
76,77824,4.48962,211.85714,0.28571,0.15,1.917215,0.063018,16.213348,0.00697,1920,0.15234,0.85714,1.0,0.55911,4.48434,-0.01,0.02904,0.00108,-0.02805,-0.00322,0.06615
77,78848,-3.88865,135.77778,0.0,0.15,1.929814,-0.002058,1.097406,0.004541,1738,0.14853,1.0,0.9,0.53261,4.69238,-0.01,0.03866,-0.00099,-0.02994,-0.01022,-0.00471
78,79872,6.88529,155.625,0.25,0.16,1.874761,0.037482,15.2495,0.005095,1729,0.15169,1.0,0.85714,0.64223,3.25032,-0.01,0.05176,0.00139,-0.02504,-0.00557,0.06027
79,80896,-0.47988,96.625,0.0,0.16,1.894638,-0.001246,0.914718,0.003361,1624,0.1405,1.0,1.0,0.69192,4.10576,-0.01,0.04775,0.00186,-0.02752,-0.01199,-0.0044
80,81920,5.49968,115.25,0.25,0.17,1.832628,-0.001518,7.914091,0.003594,2012,0.14077,0.75,1.0,0.66495,4.85619,-0.01,0.0324,0.00066,-0.02466,-0.00304,0.02219
81,82944,12.66137,196.71429,0.42857,0.19,1.831229,0.00088,36.605601,0.004813,2050,0.15738,0.71429,1.0,0.62457,4.37147,-0.01,0.03716,-0.00135,-0.02486,0.00133,0.12279
82,83968,4.99238,155.75,0.25,0.2,1.796071,-0.026041,12.232597,0.003723,1877,0.15224,0.875,1.0,0.72727,3.27745,-0.01,0.03927,-5e-05,-0.02541,-0.00328,0.04275
83,84992,16.58616,168.83333,0.5,0.21,1.818409,0.015901,16.296029,0.007024,1780,0.13977,0.66667,1.0,0.71025,3.87509,-0.01,0.04431,-0.00151,-0.02735,-0.00059,0.12755
84,86016,37.74853,104.8,0.6,0.23,1.796059,0.001665,57.701424,0.006511,1837,0.15635,0.6,1.0,0.7439,5.04912,-0.01,0.03828,-0.00375,-0.02359,0.00585,0.21179
85,87040,29.11667,182.8,0.6,0.25,1.68369,-0.003132,43.545608,0.004884,1867,0.14876,0.6,1.0,0.63333,3.80618,-0.01,0.03753,0.00146,-0.02618,0.00214,0.17903
86,88064,20.14397,215.875,0.5,0.27,1.751091,0.042998,33.651741,0.003711,1598,0.14869,0.5,0.84615,0.71899,3.69421,-0.01,0.05917,-0.00285,-0.02645,0.00542,0.17046
87,89088,18.12686,111.11111,0.44444,0.28,1.714332,0.005508,33.551442,0.002432,1616,0.14804,0.88889,1.0,0.83011,3.36901,-0.01,0.05444,0.00033,-0.02925,0.00042,0.15539
88,90112,43.49965,138.0,0.85714,0.34,1.701655,0.002453,67.745139,0.006622,1664,0.15231,0.28571,0.75,0.92634,4.06723,-0.01,0.05296,-0.00041,-0.0292,0.00451,0.30643
89,91136,15.01762,158.625,0.375,0.37,1.700748,0.030021,29.560766,0.007059,1779,0.14563,0.875,1.0,0.66908,3.69364,-0.01,0.05602,-0.00122,-0.02529,-0.00021,0.12594
90,92160,22.25297,118.33333,0.66667,0.39,1.828264,-0.065942,31.83181,0.008351,1856,0.15981,1.0,1.0,0.66571,4.30582,-0.01,0.0461,-0.00388,-0.03085,0.00198,0.15472
91,93184,16.58859,112.6,0.4,0.4,1.808702,0.002644,32.606424,0.006974,2190,0.16168,1.0,0.83333,0.40175,6.93963,-0.01,0.02409,-0.00348,-0.02938,-0.00342,0.13106
92,94208,9.87233,176.2,0.2,0.41,1.830742,-0.001861,20.510245,0.003945,2023,0.16742,0.8,1.0,0.71121,3.62455,-0.01,0.04459,-0.00421,-0.03283,-0.00262,0.07255
93,95232,10.30747,192.875,0.25,0.41,1.81735,-0.000865,24.26086,0.003045,1775,0.1575,0.875,1.0,0.70625,3.61828,-0.01,0.05437,-0.00322,-0.03458,-0.00119,0.10565
94,96256,21.14508,137.63636,0.45455,0.46,1.754514,0.070669,41.67535,0.006835,1522,0.17148,0.63636,1.0,0.72662,3.20506,-0.01,0.06106,-0.00155,-0.03579,0.00227,0.24669
95,97280,26.8923,107.85714,0.57143,0.47,1.786262,0.000298,41.387956,0.006461,1684,0.17746,0.57143,1.0,0.87189,2.62045,-0.01,0.0571,-0.00306,-0.03574,-0.00084,0.19889
96,98304,14.59273,129.2,0.4,0.48,1.866932,0.023689,16.093454,0.004213,1654,0.17519,1.0,1.0,0.52264,4.45162,-0.01,0.04105,-0.00408,-0.03853,-0.00106,0.0778
97,99328,16.24854,170.6,0.4,0.48,1.797379,0.000119,25.462079,0.003876,1921,0.17574,0.8,1.0,0.68352,5.02128,-0.01,0.0349,-0.0019,-0.03366,0.00021,0.11621
98,100352,11.16226,99.2,0.2,0.47,1.837595,-0.049915,12.348962,0.008748,2390,0.16963,1.0,1.0,0.5641,4.58504,-0.01,0.036,-0.00206,-0.0303,-0.00726,0.0817
99,101376,9.21277,278.5,0.25,0.45,1.824405,0.020816,18.390838,0.008977,2363,0.16385,0.5,1.0,0.77246,4.32978,-0.01,0.03862,0.00064,-0.03033,0.00194,0.0877
100,102400,2.92431,254.42857,0.14286,0.42,1.865875,-0.000784,13.802577,0.004631,2220,0.17086,1.0,0.81818,0.52577,4.52146,-0.01,0.03453,-0.00688,-0.03379,-0.00469,0.05267
101,103424,5.33242,101.0,0.2,0.41,1.904034,-0.000834,15.653351,0.004808,1989,0.17399,0.8,1.0,0.51536,4.97417,-0.01,0.03822,-0.00435,-0.03398,-0.0064,0.04516
102,104448,4.71258,182.5,0.125,0.37,1.920376,-0.008879,14.111031,0.003775,1777,0.1781,0.875,0.90909,0.51955,3.98083,-0.01,0.04507,-0.00437,-0.0384,-0.01139,0.06249
103,105472,-3.13423,164.0,0.0,0.34,1.907302,0.000933,4.674312,0.006043,2020,0.16324,0.83333,1.0,0.49196,4.99161,-0.01,0.03462,-0.00481,-0.0359,-0.01052,-0.00337
104,106496,-3.70224,132.71429,0.0,0.29,1.893342,-0.001248,2.213747,0.008423,1958,0.17194,1.0,1.0,0.47561,6.04392,-0.01,0.03357,-0.00579,-0.03399,-0.0083,-0.00467
105,107520,22.26874,169.16667,0.5,0.3,1.857723,0.009418,28.307569,0.006523,2119,0.16211,0.66667,1.0,0.49375,9.86205,-0.01,0.01258,-0.00327,-0.03337,-0.00347,0.1994
106,108544,-4.71519,220.0,0.0,0.28,1.862418,-0.001563,1.301322,0.003523,2077,0.17406,1.0,1.0,0.32979,12.86092,-0.01,-0.00512,-0.00329,-0.03528,-0.00255,-0.00131
107,109568,-6.34043,276.5,0.0,0.27,1.890497,0.050346,1.260737,0.006158,2131,0.19879,1.0,1.0,0.48555,7.78314,-0.01,-0.01078,-0.00225,-0.03473,-0.00261,-0.00067
108,110592,-14.72906,273.5,0.0,0.24,1.886805,-0.047708,0.589096,0.008145,2071,0.194,0.66667,1.0,0.16456,8.85155,-0.01,0.01162,-0.00294,-0.03714,-0.00384,-0.00255
109,111616,-5.49988,216.83333,0.16667,0.24,1.907694,0.027497,4.831684,0.005284,1994,0.19098,0.66667,1.0,0.38696,5.71338,-0.01,0.02927,-0.00076,-0.03061,-0.00644,0.01788
110,112640,3.35172,159.85714,0.14286,0.23,1.930562,-0.002791,12.907986,0.008131,1805,0.20137,0.85714,1.0,0.46259,5.76269,-0.01,0.03769,0.00026,-0.03337,-0.00675,0.04127
111,113664,-1.85376,138.33333,0.0,0.18,1.977781,-0.026065,1.19362,0.00769,1755,0.18342,0.88889,0.0,0.29057,5.05979,-0.01,0.04177,0.00067,-0.03466,-0.01079,-0.00479
112,114688,-2.2764,140.0,0.0,0.14,1.959831,-0.176225,0.713324,0.011094,1623,0.19114,1.0,1.0,0.49408,4.60783,-0.01,0.0468,-0.00031,-0.03875,-0.0097,-0.00499
113,115712,10.34086,108.875,0.25,0.12,1.929609,0.002736,27.061245,0.008027,1578,0.19207,0.875,1.0,0.50923,3.98506,-0.01,0.05417,-0.00018,-0.03831,-0.00527,0.09111
114,116736,4.7432,102.28571,0.14286,0.12,1.89384,-0.004694,11.107964,0.003303,1764,0.20404,1.0,0.0,0.42308,4.70957,-0.01,0.04197,0.00035,-0.03378,-0.00733,0.03888
115,117760,30.56388,103.66667,0.5,0.14,1.93876,0.052929,39.111347,0.005964,1905,0.18155,0.66667,0.0,0.62132,3.42139,-0.01,0.04154,0.00036,-0.03371,0.00233,0.23027
116,118784,-2.6124,170.8,0.0,0.12,1.877993,0.022768,1.707327,0.007361,2095,0.16895,1.0,1.0,0.45455,4.96577,-0.01,0.02983,-0.00227,-0.03545,-0.0056,-0.00281
117,119808,2.64483,233.2,0.2,0.13,1.823739,0.07221,9.117539,0.007161,1880,0.16639,1.0,1.0,0.24911,6.10125,-0.01,0.03573,-0.00057,-0.03553,-0.00543,0.03842
118,120832,6.36124,219.83333,0.16667,0.13,1.883848,-0.008665,13.527775,0.002349,2007,0.15717,0.66667,1.0,0.53043,3.03427,-0.01,0.03609,-0.00236,-0.03525,-0.00681,0.07186
119,121856,-1.07263,95.75,0.0,0.13,1.828911,-0.00449,1.637916,0.00451,2219,0.15707,1.0,1.0,0.54315,4.6802,-0.01,0.02493,0.00043,-0.02986,-0.01003,-0.00305
120,122880,11.0655,210.57143,0.28571,0.15,1.811344,0.058141,27.379933,0.003995,1937,0.18231,0.85714,1.0,0.58438,4.59961,-0.01,0.0355,0.00142,-0.03052,0.00049,0.11896
121,123904,5.63287,185.22222,0.22222,0.14,1.804663,0.00259,22.671543,0.002409,1864,0.18638,0.66667,1.0,0.6,3.74733,-0.01,0.04215,-6e-05,-0.03351,-0.00593,0.08853
122,124928,15.38617,108.88889,0.44444,0.18,1.776202,0.000415,33.265673,0.004431,1651,0.18785,0.77778,1.0,0.67593,2.65347,-0.01,0.06025,-5e-05,-0.03626,-0.00058,0.13543
123,125952,15.76064,156.375,0.5,0.21,1.729105,0.050736,27.186166,0.002782,1665,0.1762,0.625,0.5,0.64838,3.47761,-0.01,0.05707,0.00077,-0.03452,0.00117,0.13589
124,126976,38.62925,110.71429,0.71429,0.25,1.734995,0.069201,40.044033,0.004099,1561,0.17249,0.71429,0.0,0.67556,3.91334,-0.01,0.0601,0.00069,-0.03459,0.00642,0.2602
125,128000,26.35205,130.75,0.625,0.3,1.727587,0.054687,37.324372,0.004148,1616,0.17972,0.5,1.0,0.50369,4.41539,-0.01,0.05525,0.00033,-0.03642,0.00513,0.21541
126,129024,50.76926,112.83333,0.83333,0.35,1.622877,0.001332,52.095472,0.004123,1632,0.17408,0.5,1.0,0.72807,5.52364,-0.01,0.05416,-0.00186,-0.03387,0.00828,0.31039
127,130048,29.26827,118.0,0.75,0.38,1.649039,-0.000623,29.322379,0.002858,1771,0.16637,0.75,1.0,0.65598,4.8489,-0.01,0.04558,-0.00281,-0.0353,0.00352,0.12542
128,131072,23.40491,225.0,0.5,0.39,1.639806,-0.0009,32.031844,0.001093,1707,0.17557,0.33333,1.0,0.72961,4.03276,-0.01,0.04911,-0.00164,-0.0325,0.00455,0.16432
129,132096,18.26319,228.83333,0.33333,0.4,1.702022,0.024598,20.697781,0.007397,1672,0.17017,0.66667,1.0,0.6617,3.49449,-0.01,0.05958,-0.0011,-0.0378,0.00127,0.11419
130,133120,49.71144,134.2,1.0,0.44,1.649883,-0.001583,49.894558,0.001617,1816,0.17239,0.2,1.0,0.73975,2.85272,-0.01,0.05588,-0.00213,-0.03547,0.00758,0.28268
131,134144,17.68677,212.28571,0.28571,0.44,1.671666,-7.9e-05,30.167975,0.004763,1771,0.18407,0.85714,1.0,0.69388,3.69198,-0.01,0.04943,-0.00155,-0.04084,-0.00043,0.14791
