iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
99,101376,23.2574,240.66667,1.0,0.95,1.615632,-0.000254,1.074563,0.000388,1160,-0.01,0.00505,-0.00129,0.00147,0.00159,0.07289
100,102400,23.29676,218.2,1.0,0.95,1.507665,-0.052825,3.88591,0.000904,1231,-0.01,0.00508,-0.00119,0.00101,0.00347,0.13084
101,103424,17.31238,236.33333,1.0,0.95,1.647385,-0.011196,1.515887,0.000812,1180,-0.01,0.00574,-0.00115,0.00051,0.00396,0.05582
102,104448,24.58578,204.33333,1.0,0.95,1.557987,0.072659,2.228333,0.002246,1200,-0.01,0.00463,-0.00087,0.00038,0.00285,0.15711
103,105472,17.55739,246.66667,0.83333,0.94,1.701014,0.014767,1.505431,0.001522,1205,-0.01,0.00467,-0.00126,0.00178,0.00171,0.11995
104,106496,19.74307,216.0,1.0,0.94,1.671527,-8.9e-05,2.170878,0.001498,1172,-0.01,0.00528,-0.00163,0.00166,0.00202,0.06478
105,107520,19.48668,251.75,1.0,0.95,1.61318,-0.082953,2.671831,0.001285,1211,-0.01,0.00567,-0.00241,0.00202,0.00245,0.0865
106,108544,22.23991,237.66667,1.0,0.95,1.755017,-0.048403,1.620907,0.001665,1152,-0.01,0.00376,-0.00177,0.00198,-0.00014,0.07358
107,109568,13.65592,294.75,0.75,0.94,1.66287,-0.002083,1.476448,0.000555,1262,-0.01,0.00468,-0.00112,0.00107,0.00179,0.0669
108,110592,16.42125,286.0,1.0,0.94,1.682363,-0.000665,1.362434,0.001483,1226,-0.01,0.00523,-0.00109,0.00202,0.00168,0.09799
109,111616,17.40154,275.0,1.0,0.94,1.657079,-0.007955,1.717206,0.000512,1221,-0.01,0.00536,-0.00118,0.00147,-0.00021,0.04026
110,112640,17.81464,281.75,1.0,0.94,1.658843,0.009181,1.603667,0.00105,1253,-0.01,0.00463,-0.0015,0.00117,0.00247,0.08351
111,113664,21.15616,276.33333,1.0,0.94,1.64873,-0.000606,1.692519,0.00047,1171,-0.01,0.00559,-0.00078,0.00125,0.00182,0.06683
112,114688,14.98583,309.25,0.75,0.93,1.558337,-0.000368,2.255786,0.000683,1267,-0.01,0.00543,-0.00144,0.00122,0.00099,0.07059
113,115712,15.89551,266.0,0.75,0.93,1.722606,-0.037923,1.269936,0.002267,1197,-0.01,0.00458,-0.00085,0.00181,0.00166,0.07208
114,116736,19.28484,249.0,1.0,0.93,1.653471,-0.000696,2.119306,0.001118,1251,-0.01,0.00595,-0.00129,0.00171,0.00274,0.10821
115,117760,24.84236,257.33333,1.0,0.93,1.688521,-0.077443,0.931912,0.000435,1143,-0.01,0.00477,-0.00183,0.00231,0.00305,0.07529
116,118784,22.8476,245.66667,1.0,0.93,1.590737,-0.000861,2.979791,0.000869,1221,-0.01,0.00592,-0.00198,0.00209,0.00174,0.07376
117,119808,19.36417,268.2,1.0,0.94,1.720284,-0.074099,1.598891,0.003419,1167,-0.01,0.00512,-0.00187,0.00143,0.00121,0.10414
118,120832,21.53195,256.0,1.0,0.94,1.657285,-0.001133,1.797407,0.001619,1228,-0.01,0.00646,-0.00226,0.00153,0.00469,0.0702
119,121856,22.13755,284.6,1.0,0.94,1.694514,0.053337,1.50911,0.00069,1130,-0.01,0.00483,-0.00211,0.00125,0.00198,0.11838
120,122880,21.20791,245.0,1.0,0.94,1.638655,-0.000241,2.498378,0.001355,1233,-0.01,0.00729,-0.00218,0.00128,0.003,0.09324
121,123904,22.29885,249.25,1.0,0.95,1.653387,0.044146,2.10999,0.000816,1176,-0.01,0.00498,-0.0025,0.00184,0.00255,0.09502
122,124928,19.54358,245.75,1.0,0.95,1.624091,-0.000263,2.035113,0.000902,1241,-0.01,0.00568,-0.00262,0.00213,0.00261,0.08938
123,125952,20.81322,255.25,1.0,0.96,1.671366,-0.001137,1.099647,0.000742,1188,-0.01,0.00673,-0.00243,0.00151,0.00066,0.08993
124,126976,10.31041,268.33333,0.66667,0.95,1.642545,-0.021039,1.938689,0.001098,1342,-0.01,0.00694,-0.00276,0.00186,-0.00116,0.04182
125,128000,19.35541,290.25,1.0,0.95,1.714989,-0.07314,0.994107,0.001361,1182,-0.01,0.00694,-0.00217,0.00122,0.00237,0.08408
126,129024,20.4811,279.33333,1.0,0.95,1.737492,-0.051788,2.033155,0.001288,1230,-0.01,0.00709,-0.0016,0.00204,0.00101,0.06888
127,130048,13.95651,271.4,0.8,0.94,1.627704,-0.020202,2.218145,0.000735,1286,-0.01,0.00531,-0.00124,0.00119,-0.00127,0.08522
128,131072,19.6488,253.66667,1.0,0.94,1.632576,-0.097927,1.853237,0.000866,1133,-0.01,0.00696,-0.00188,0.00186,0.00243,0.06246
129,132096,20.42227,279.0,1.0,0.95,1.661444,-0.117141,3.417755,0.001116,1173,-0.01,0.00664,-0.0019,0.00212,0.00285,0.08943
130,133120,21.29731,289.66667,1.0,0.95,1.668153,-0.001186,2.093817,0.001323,1130,-0.01,0.00738,-0.00198,0.00158,0.00168,0.06683
131,134144,12.56259,295.75,0.75,0.94,1.640572,-0.000477,2.387579,0.00064,1261,-0.01,0.00591,-0.00186,0.00158,-0.00158,0.06048
132,135168,20.84236,297.33333,1.0,0.94,1.718955,-0.000274,1.424831,0.000496,1172,-0.01,0.0063,-0.0018,0.00079,0.00206,0.06571
133,136192,22.05638,285.0,1.0,0.95,1.666477,-0.000439,2.695567,0.000325,1216,-0.01,0.00711,-0.00182,0.00144,-1e-05,0.07306
134,137216,15.53253,312.8,0.8,0.94,1.639265,-0.030253,1.527876,0.001059,1170,-0.01,0.00499,-0.00186,0.00139,0.00338,0.08746
135,138240,23.20629,243.75,1.0,0.94,1.542149,0.031959,1.36652,0.000824,1154,-0.01,0.00722,-0.00181,0.00148,0.00384,0.09701
136,139264,24.27329,242.6,1.0,0.94,1.645697,-0.046869,1.061453,0.00126,1162,-0.01,0.00504,-0.00154,0.00174,0.00426,0.12507
137,140288,22.62231,266.5,1.0,0.94,1.577235,-0.000318,1.808735,0.00129,1146,-0.01,0.00546,-0.00187,0.00176,0.003,0.04763
138,141312,22.17126,248.83333,1.0,0.95,1.652838,0.000114,1.606243,0.000481,1171,-0.01,0.00536,-0.00128,0.0021,0.00217,0.14043
139,142336,17.37496,250.66667,1.0,0.96,1.550454,-0.000906,2.551768,0.000654,1240,-0.01,0.00621,-0.00131,0.00187,0.00016,0.06018
140,143360,14.13646,248.5,0.75,0.95,1.693774,-0.000512,1.434339,0.001117,1147,-0.01,0.00576,-0.00126,0.00161,-0.00273,0.06721
141,144384,2.92281,342.0,1.0,0.95,1.619273,2.6e-05,2.192663,0.000474,1264,-0.01,0.00788,-0.00136,0.00212,5e-05,0.00561
142,145408,17.19132,328.5,1.0,0.95,1.571642,-0.000466,2.202185,0.000409,1345,-0.01,0.007,-0.0018,0.00157,0.00121,0.08428
