iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
83,84992,-2.42333,181.2,0.0,0.0,1.019053,-0.084781,0.089719,0.005495,2521,0.04629,1.0,0.0,,,-0.01,0.01094,0.00276,-0.0166,-0.00375,-0.0022
84,86016,-2.10046,76.0,0.0,0.0,1.159482,-0.002826,0.096736,0.003814,2874,0.04907,1.0,0.0,,,-0.01,0.01008,0.00243,-0.0113,-0.0004,-0.00085
85,87040,-1.45966,266.8,0.0,0.0,1.092897,-0.003188,0.093581,0.00372,2462,0.05108,1.0,0.0,,,-0.01,0.01112,0.00202,-0.01374,0.00281,-0.00074
86,88064,-1.93557,265.75,0.0,0.0,1.207003,0.021133,0.070571,0.003057,2225,0.04413,1.0,0.0,,,-0.01,0.01205,0.00247,-0.01081,0.0031,-0.00065
87,89088,-0.13938,300.0,0.0,0.0,1.248662,-0.003554,0.043907,0.004706,2330,0.0466,0.75,0.0,,,-0.01,0.00926,0.00056,-0.00888,0.00326,0.0
88,90112,-1.40498,300.0,0.0,0.0,1.16152,-0.053611,0.065898,0.002203,2233,0.0431,1.0,0.0,,,-0.01,0.01083,0.00166,-0.01646,0.00238,0.0
89,91136,-2.25777,300.0,0.0,0.0,1.206135,0.117896,0.044387,0.003599,2846,0.05616,1.0,0.0,,,-0.01,0.00878,0.00148,-0.00578,0.00142,0.0
90,92160,-1.42342,300.0,0.0,0.0,1.060192,-0.01793,0.064838,0.004548,2434,0.05271,1.0,0.0,,,-0.01,0.00916,0.00207,-0.01287,0.00065,0.0
91,93184,-2.49159,202.5,0.0,0.0,1.079498,-0.002541,0.096031,0.003181,2563,0.04755,1.0,0.0,,,-0.01,0.00881,0.00209,-0.00959,0.00316,-0.00074
92,94208,-1.52409,300.0,0.0,0.0,1.132784,-0.003306,0.065306,0.003146,2327,0.04588,1.0,0.0,,,-0.01,0.01067,0.00163,-0.01084,0.00128,0.0
93,95232,-1.46735,270.0,0.0,0.0,1.161261,-0.001911,0.066758,0.004718,2328,0.05336,1.0,0.0,,,-0.01,0.01134,0.00164,-0.00951,0.00205,-0.00067
94,96256,-0.14515,300.0,0.0,0.0,1.243082,-0.061761,0.060584,0.002789,2370,0.03564,1.0,0.0,,,-0.01,0.0111,0.00113,-0.00771,0.00389,0.0
95,97280,-0.36048,300.0,0.0,0.0,1.122615,-0.004575,0.073953,0.005895,2382,0.04396,0.5,0.0,,,-0.01,0.01168,0.00192,-0.0149,0.00041,0.0
96,98304,-2.76777,257.33333,0.0,0.0,1.115536,-0.003861,0.072271,0.003449,2690,0.05038,1.0,0.0,,,-0.01,0.01055,0.00231,-0.01152,-0.00298,-0.0008
97,99328,-1.88347,228.2,0.0,0.0,1.109118,0.077963,0.084002,0.001624,2348,0.04788,1.0,0.0,,,-0.01,0.01109,0.00185,-0.01156,0.00215,-0.00139
98,100352,-2.37676,211.25,0.0,0.0,1.035992,-0.065763,0.081071,0.003703,2377,0.06211,0.75,0.0,,,-0.01,0.01142,0.00175,-0.01279,-0.00104,-0.0014
99,101376,-0.99254,246.0,0.0,0.0,0.998173,-0.030211,0.066658,0.003134,2375,0.05649,1.0,0.0,,,-0.01,0.0134,0.00198,-0.01006,0.00181,-0.0007
100,102400,-0.54419,252.0,0.0,0.0,1.085109,-0.003154,0.12847,0.001774,2300,0.05767,1.0,0.0,,,-0.01,0.0111,0.00215,-0.01269,-0.00165,-0.00067
101,103424,-1.63999,300.0,0.0,0.0,1.102531,0.039714,0.085157,0.004554,2849,0.04722,1.0,0.0,,,-0.01,0.01053,0.0013,-0.00827,0.00326,0.0
102,104448,-1.57411,262.6,0.0,0.0,1.04623,-0.003879,0.082292,0.004992,2210,0.04657,1.0,0.0,,,-0.01,0.00755,0.00144,-0.01156,0.00089,-0.00066
103,105472,-2.68755,261.0,0.0,0.0,1.159469,-0.003967,0.091847,0.004499,2461,0.0427,0.66667,0.0,,,-0.01,0.01149,0.00181,-0.0105,-0.00301,-0.00073
104,106496,-1.97209,248.33333,0.0,0.0,1.053267,-0.003799,0.072248,0.004845,2764,0.03339,1.0,0.0,,,-0.01,0.01201,0.00138,-0.00568,-0.00053,-0.00081
105,107520,-1.11142,264.0,0.0,0.0,1.096509,-0.05394,0.083734,0.007252,2257,0.03856,0.75,0.0,,,-0.01,0.01047,0.00172,-0.01426,0.00314,-0.00064
106,108544,0.13265,300.0,0.0,0.0,1.245362,-0.037606,0.06895,0.005433,2459,0.03863,1.0,0.0,,,-0.01,0.01098,0.00142,-0.00791,0.00207,0.0
107,109568,-1.51611,300.0,0.0,0.0,1.045955,-0.00305,0.071836,0.003131,2249,0.03169,0.66667,1.0,,,-0.01,0.00873,0.00163,-0.01033,0.00358,0.0
108,110592,-0.33539,300.0,0.0,0.0,1.125242,-0.003803,0.096106,0.003401,2555,0.05028,1.0,0.0,,,-0.01,0.00956,0.00158,-0.00886,0.00092,0.0
109,111616,-1.35285,300.0,0.0,0.0,1.17266,-0.139757,0.068476,0.006107,2398,0.03771,1.0,0.0,,,-0.01,0.01021,0.00159,-0.00769,0.00509,0.0
110,112640,-0.7807,266.5,0.0,0.0,1.137267,0.018641,0.097864,0.006251,2393,0.04168,1.0,0.0,,,-0.01,0.01168,0.00202,-0.00763,-0.00277,-0.00071
111,113664,-1.70242,234.0,0.0,0.0,1.137423,-0.021436,0.091559,0.003372,2368,0.03377,1.0,0.0,,,-0.01,0.01149,0.00216,-0.01233,0.00095,-0.00138
112,114688,-0.95242,255.33333,0.0,0.0,1.108054,-0.001435,0.095429,0.002687,2591,0.04072,1.0,0.0,,,-0.01,0.0127,0.00158,-0.00594,0.00162,-0.00075
113,115712,-1.08481,249.5,0.0,0.0,1.067198,-0.001439,0.083078,0.003702,2267,0.04613,1.0,0.0,,,-0.01,0.0112,0.00267,-0.01262,0.00242,-0.00133
114,116736,-0.86948,262.66667,0.0,0.0,1.256638,-0.090333,0.039421,0.004394,2212,0.036,1.0,0.0,,,-0.01,0.00648,0.00139,-0.007,0.00389,-0.00062
115,117760,-1.54331,300.0,0.0,0.0,1.244037,-0.030001,0.065265,0.002737,1971,0.0433,0.5,0.0,,,-0.01,0.00858,0.00168,-0.00809,0.00307,0.0
116,118784,-0.9937,300.0,0.0,0.0,1.206744,-5.1e-05,0.044257,0.005567,2389,0.04947,0.5,0.0,,,-0.01,0.00986,0.00131,-0.00322,-0.00014,0.0
117,119808,-0.70882,282.5,0.0,0.0,1.169076,0.016239,0.074697,0.003465,2217,0.06994,1.0,0.0,,,-0.01,0.00976,0.00127,-0.00576,0.00063,-0.00066
118,120832,-0.62387,300.0,0.0,0.0,1.14824,-0.135505,0.098253,0.004825,2628,0.07065,1.0,0.0,,,-0.01,0.0095,0.00168,-0.006,0.00453,0.0
119,121856,-0.74237,300.0,0.0,0.0,1.150309,0.019879,0.073782,0.004873,2506,0.05071,0.8,0.0,,,-0.01,0.01042,0.00095,-0.00436,2e-05,0.0
120,122880,-0.2146,276.25,0.0,0.0,1.078559,0.022083,0.145722,0.004225,2436,0.06794,1.0,0.0,,,-0.01,0.01074,0.00207,-0.01092,-0.00051,-0.00073
121,123904,-1.13894,252.25,0.0,0.0,1.067284,-0.002873,0.129184,0.002,2704,0.04936,0.75,0.0,,,-0.01,0.01095,0.00297,-0.00669,0.00281,-0.00159
122,124928,-0.64339,300.0,0.0,0.0,1.060108,-0.002647,0.085259,0.003556,2573,0.05236,1.0,0.0,,,-0.01,0.01082,0.00216,-0.00769,-0.0015,0.0
123,125952,-0.76227,273.75,0.0,0.0,0.969056,0.056132,0.111059,0.003054,2731,0.05285,1.0,0.0,,,-0.01,0.01077,0.00186,-0.00306,0.0016,-0.00083
124,126976,-1.02496,261.2,0.0,0.0,0.996951,-0.002666,0.101777,0.003002,2510,0.04363,1.0,0.0,,,-0.01,0.01148,0.00305,-0.00706,-0.0008,-0.00152
125,128000,1.03493,300.0,0.0,0.0,0.995229,-0.003345,0.077797,0.002641,3076,0.03729,1.0,0.0,,,-0.01,0.01169,0.00235,-0.00099,2e-05,0.0
126,129024,-0.13532,290.5,0.0,0.0,0.951011,-0.010708,0.175748,0.003138,2585,0.04726,1.0,0.0,,,-0.01,0.01114,0.00273,-0.006,0.00219,-0.00079
127,130048,-1.01072,176.5,0.0,0.0,1.057198,0.054145,0.128104,0.003254,2488,0.0511,1.0,0.0,,,-0.01,0.01043,0.00137,-0.00476,-0.00169,-0.00072
128,131072,-0.47625,282.2,0.0,0.0,1.021488,0.055379,0.07893,0.004135,2448,0.03332,1.0,0.0,,,-0.01,0.01293,0.00181,-0.00575,0.00077,-0.00073
129,132096,-0.78286,260.0,0.0,0.0,1.091248,-0.233033,0.089618,0.005464,2580,0.04453,1.0,0.0,,,-0.01,0.01153,0.00235,0.00066,0.00205,-0.00072
130,133120,0.46847,300.0,0.0,0.0,1.102953,0.01748,0.060447,0.004529,2540,0.02394,1.0,0.0,,,-0.01,0.01096,0.00099,-0.00013,0.00215,0.0
131,134144,27.72112,200.0,0.57143,0.04,1.01949,0.055421,54.446957,0.006116,2139,0.03839,0.71429,0.0,,,-0.01,0.01362,0.00199,-0.00067,0.00609,0.22747
132,135168,0.84983,300.0,0.0,0.04,1.268318,-0.001135,0.217617,0.001431,2126,0.03443,0.5,0.0,,,-0.01,0.01069,0.00046,0.00035,0.00177,0.0
133,136192,1.48853,300.0,0.0,0.04,1.079429,-0.070924,0.099328,0.003929,2155,0.02969,0.75,0.0,,,-0.01,0.01301,0.00128,0.00046,0.0027,0.0
134,137216,1.26621,280.0,0.0,0.04,1.058775,-0.061696,0.193195,0.005014,2165,0.04381,1.0,1.0,,,-0.01,0.01484,0.00263,-0.00188,-0.0008,-0.00064
