iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1974,2021376,76.93239,117.0,1.0,0.98,1.013887,-0.002486,0.005529,0.002555,0.301461,0.018799,0.720222,68.209167,2.361374,68.250992,2.876251,4.0,0.00012683,7,1375,0.36499,0.37378,0.0,0.99,100,0.0,0.0,1.0,2.10807,-0.01,0.03739,-0.00273,0.0003,0.01602,0.48846
1975,2022400,75.22948,134.9,1.0,0.98,1.015206,-0.003843,0.006736,0.00384,0.355377,0.040466,0.644372,67.814438,2.605747,67.807343,2.765255,4.0,0.00012674,10,1370,0.35674,0.36775,0.0,0.99,100,0.1,0.0,1.0,1.95182,-0.01,0.03588,-0.00321,0.00044,0.01422,0.68595
1976,2023424,74.40324,116.42857,1.0,0.98,1.004631,-0.002286,0.004816,0.002136,0.334543,0.012451,0.787579,67.560318,2.539078,67.252037,3.017749,4.0,0.00012665,7,1391,0.3504,0.35776,0.0,0.99,100,0.14286,0.0,1.0,2.08021,-0.01,0.03513,-0.00249,-0.00015,0.01595,0.4776
1977,2024448,74.49094,181.2,1.0,0.99,1.003468,-0.002673,0.004927,0.003581,0.34883,0.03418,0.71936,67.478401,2.516461,67.187279,2.626684,4.0,0.00012656,5,1392,0.34302,0.35059,0.0,0.97,100,0.0,0.0,1.0,2.06772,-0.01,0.03312,-0.00274,0.00147,0.01123,0.3383
1978,2025472,75.42599,152.0,1.0,0.99,0.970251,-0.001877,0.004213,0.002397,0.3475,0.023621,0.771982,67.251976,2.137169,67.027039,2.686392,4.0,0.00012648,7,1400,0.31812,0.32739,0.0,0.97,100,0.0,0.0,1.0,2.05111,-0.01,0.03749,-0.00356,0.00132,0.00911,0.48026
1979,2026496,76.73812,124.5,1.0,1.0,0.911734,-0.001362,0.006222,0.00178,0.353573,0.009705,0.667099,67.63166,2.356049,68.363411,2.669683,4.0,0.00012639,10,1364,0.32861,0.33887,0.0,0.95,100,0.0,0.0,1.0,2.10853,-0.01,0.03981,-0.0013,0.0017,0.0198,0.69499
1980,2027520,77.62114,97.14286,1.0,1.0,1.006324,-0.001785,0.004047,0.002821,0.348276,0.026367,0.801759,67.865891,2.249594,67.688377,2.829311,4.0,0.0001263,7,1396,0.40967,0.41992,0.0,0.96,100,0.0,0.0,1.0,2.10614,-0.01,0.03561,-0.0027,0.00082,0.01587,0.49289
1981,2028544,74.75593,161.33333,1.0,1.0,1.030516,-0.001396,0.005058,0.00121,0.331368,0.008606,0.776266,67.043098,2.586138,66.629822,2.96207,4.0,0.00012621,6,1396,0.44434,0.45752,0.0,0.96,100,0.0,0.0,1.0,2.40612,-0.01,0.03154,-0.00342,-0.00035,0.01177,0.40983
1982,2029568,73.43864,191.71429,1.0,1.0,1.046347,-0.003324,0.005532,0.004463,0.417919,0.05188,0.723604,66.422653,2.431497,66.03685,2.839717,4.0,0.00012612,7,1402,0.41968,0.43213,0.0,0.96,100,0.0,0.0,1.0,2.11154,-0.01,0.02798,-0.00383,0.00047,0.00688,0.47212
1983,2030592,75.8637,134.57143,1.0,1.0,1.022668,-0.002992,0.005933,0.003223,0.305837,0.036743,0.70858,67.696938,2.447909,67.771759,2.811388,4.0,0.00012604,7,1399,0.4104,0.41919,0.0,0.96,100,0.0,0.0,1.0,2.03451,-0.01,0.03835,-0.0054,0.00163,0.01387,0.48433
1984,2031616,75.71879,126.85714,1.0,1.0,1.053374,-0.00281,0.005178,0.004719,0.32204,0.036804,0.755135,67.282845,2.399801,67.420128,2.866663,4.0,0.00012595,7,1397,0.38989,0.39819,0.0,0.96,100,0.0,0.0,1.0,2.02276,-0.01,0.04041,-0.00398,0.00115,0.0113,0.48595
